"text","cmp_code","eu_code"
"Heart of the Manifesto 2001",NA,NA
"Our Platform",NA,NA
"We stand for Scotland",NA,NA
"The SNP stands for Scotland.","601",NA
"We stand for Independence and","301",NA
"we stand for the people -all the people - who live in our rich country.","305",NA
"At the Westminster election the people of Scotland have a choice.","305",NA
"A choice between the Scottish National Party that stands for Scotland","601",NA
"and which campaigns for Independence","301",NA
"or the London parties which have failed our country for too long.","305",NA
"A vote for Scotland",NA,NA
"The election of SNP MPs to the Westminster Parliament is a vote for Scotland and a vote for Independence.","601",NA
"A vote for MPs committed to win Independence,","301",NA
"and who will work to bring about Independence as quickly as possible.","301",NA
"It is also a vote to win more powers for the Scottish Parliament and","301",NA
"a vote for MPs who will always put Scotland first.","301",NA
"The more SNP MPs elected to Westminster, the stronger the case for a referendum on Independence.","301",NA
"A majority of SNP MPs will trigger a referendum.","301",NA
"This means our country gets the chance to vote for Independence -","301",NA
"to complete the powers of our Parliament -","301",NA
"in a democratic referendum.","301",NA
"In advance of that referendum, all SNP MPs will put the case for more and complete powers for the Scottish Parliament from day one in the Westminster Parliament.","202",NA
"To be effective the Scottish Parliament must have the ability to take the key decisions that matter to the people of this country.","301",NA
"SNP MPs will argue for what is in the Scottish interest at all times","601",NA
"and will campaign strongly against all anti-Scottish legislation and measures at Westminster.","601",NA
"The SNP has no split loyalty;","601",NA
"we work first, last and always for the Scottish interest.","601",NA
"Our Contract with the people",NA,NA
"The more SNP MPs elected to the Westminster Parliament, the more we can do for Scotland.","601",NA
"And every vote for the SNP is a vote for the strongest voice for our country.","305",NA
"Each and every SNP MP will go to Westminster with three key aims.","305",NA
"Drive Scotland forward to Independence,","301",NA
"completing the powers of the Scottish  Parliament -","301",NA
"The stronger our voice, the stronger we can be in making the case for Independence","301",NA
"delivered by a democratic referendum.","202",NA
"Deliver the best deal for Scotland -","601",NA
"the larger the SNP presence in the House of Commons, the better chance we have of making sure that Scotland gets the best deal.","601",NA
"Protect Scotland from the worst failings of Westminster rule -","301",NA
"the more SNP MPs, the greater the chance we have of stopping the next fuel tax hike","301",NA
"or the next attack on Scottish public spending.","301",NA
"Our Independence vision",NA,NA
"Independence can release the energy, potential and opportunities needed to transform our country and","301",NA
"to build a vibrant, exciting future for our children.","301",NA
"We have a vision of Scotland that is a just, caring and enterprising country","301",NA
"where individuals are able to get on in the world regardless of where they have come from.","301",NA
"We believe strongly that there is a modern role for Scotland’s democratic government as a keystone in building a modern Scottish society and economy.","301",NA
"It is through our government that we can pool our collective resources as a society and focus them on delivering a healthy,","301",NA
"well-educated people,","301",NA
"living in a 21 st century environment and","301",NA
"cared for in times of need.","501",NA
"Scotland already has a Parliament but that Parliament has very limited powers.","301",NA
"We stand for completing the powers of our Parliament –","301",NA
"removing powers over issues that remain in London","301",NA
"and bringing them back to Scotland and","301",NA
"equipping the Scottish people with the same powers as every other normal country in the world.","301",NA
"We stand for giving the people of Scotland the chance to vote for the power to decide where they spend the resources and revenue of Scotland.","301",NA
"To decide the amount of investment in public services they","301",NA
"want and the amount of benefits they wish to allocate to those in need.","301",NA
"All those powers are with London at present","301",NA
"and we stand for transferring them to the Scottish Parliament.","301",NA
"Government from London will never deliver what we stand for","301",NA
"and what the people of Scotland demand.","301",NA
"The SNP stands to change that.","301",NA
"Scotland has a wealth of potential as a country.","301",NA
"We have all the ingredients to make a success of our economy and our society,","301",NA
"but we need the confidence in ourselves to make that success happen.","301",NA
"Normal status in the world is what Independence is about.","301",NA
"We stand for a modern vision to transform Scotland with 21 st Century Independence.","301",NA
"Using the wealth of Scotland to work for Scotland",NA,NA
"Scotland is a wealthy country and can afford to invest more in public services.","504",NA
