"text","cmp_code","eu_code"
"What Scotland needs now!",NA,NA
"“The SNP are proposing a fully-costed manifesto for an independent Scotland that is more detailed and better researched than ever before.",NA,NA
"There is a better future for Scotland with Independence -when we start investing in Scotland instead of subsidising London - and this document proves it.",NA,NA
"”",NA,NA
"Scotland Needs BETTER HEALTH - new investment in a true National Health Service to restore standards and provide quality comprehensive care, free at the point of need.","504",NA
"Scotland Needs WELL RESOURCED EDUCATION - funding for teachers, investment in schools, free pre school education and the restoration of decent student grants.","506",NA
"Scotland Needs DECENT HOMES - new houses, a renovation programme, the transfer of housing debt from local government and an end to homelessness.","504",NA
"Scotland Needs MORE JOBS - a business tax regime that encourages growth, a determination to achieve full employment and a fair tax system that encourages employment.","402",NA
"Scotland Needs SOCIAL JUSTICE - a pensioners package , the restoration of benefits to young people, and the abolition of means testing for care of the elderly.","503",NA
"Scotland Needs INDEPENDENCE - the only way in which Scotland can put its wealth to work and care for its people again.","301",NA
"THE SNP MANIFESTO 1997",NA,NA
"1: “A Nation Once Again”",NA,NA
"“Now there’s ane end of ane auld sang” were the words of the Chancellor of Scotland, when he signed the Treaty of Union of 1707 submerging from view for almost three centuries the independent nation of Scotland.","000",NA
"But he was wrong.","000",NA
"The song of Scotland - the steady rhythm of our past , the energetic bustle of our present, and the heady promise of our future - did not die in 1707.","000",NA
"Scotland still exists despite the determined efforts of those who rule us to diminish, dismiss and deride our national aspirations.","301",NA
"Scotland’s institutions in the law, education, administration and in sport still have their distinctive national characteristics despite a constant erosion by the Westminster Parliament.","301",NA
"What they need to revive and renew them - and what we need to revive and renew us - is the beating heart of an independent Scottish Parliament that expresses the sovereign will of the people who live here.","301",NA
"For two hundred and ninety years Scotland has remained within a United Kingdom which has contributed less and less to our well being.","602",NA
"Scotland has the potential to be a rich and vibrant economy yet we export our wealth south of the border:","301",NA
"Scotland has a part to play in the building of our continent, and yet we are not permitted to speak for ourselves.","301",NA
"Scotland has a home to offer to those from many backgrounds and much to give on the world stage and yet we are living in the shadow our neighbour, who speaks for us but not of us.","602",NA
"And Scotland has the skills and resources to be free, but is denied its democratic right to self government.","301",NA
"Yet Scotland can be a real and independent nation again.","301",NA
"All we need is the assent of the people.","202",NA
"At this General Election we can give that assent.","301",NA
"We can begin a process that will result in the restoration of self confidence and the creation of a modern democracy in the mainstream of European life.","301",NA
"We can express our dissatisfaction with the stale and sterile politics of the London parties - New Labour and Old Tory alike.","305",NA
"And along with many hundreds of thousands of Scots, we can all vote SNP in the certain knowledge that only the SNP can make any difference to Scotland and to the lives of those who live here.","305",NA
"This manifesto outlines the way in which the SNP wish to set Scotland free, and the promises that the SNP make about our country and how it should be run.","301",NA
